Product ID,SKU,Product Name,Category,Scale,Price Incl GST (₹),Base Price Excl GST (₹),GST Rate (%),HSN Code,MRP (₹),Discount (%),Stock (Units),Availability,Drivetrain,Top Speed,Motor Type,Battery Pack,Remote / Control,Dimensions,Weight,Age Group,Video Link,Primary Image URL,Gallery Images Count,Short Description,Full Technical Description
1,H6401-P,1:64 FPV Mini RC Car with Camera WiFi App Remote Control Adjustable Speed Multiplayer Fun,Mini RC,1:64,6248,5295,18,95030090,7810,20,25,In Stock,RWD,15 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,10 × 6 × 5 cm,0.08 kg,8+ Years,https://youtu.be/7w7LUaLpM4E?si=hu1udj_zaTSfUz9v,https://kcuaipguxokbnhnucnmv.supabase.co/storage/v1/object/public/products/prod_1788358525377_8956.png,1,"Experience precision drifting with this 1:64 scale RC Drift Car, designed for smooth control and realistic performance. Its compact size delivers fast turns, stable drifting, and exciting racing action on flat surfaces. Perfect for collectors, beginners, and RC enthusiasts looking for a stylish mini drift car with responsive handling and fun indoor driving.","Experience precision drifting with this 1:64 scale RC Drift Car, designed for smooth control and realistic performance. Its compact size delivers fast turns, stable drifting, and exciting racing action on flat surfaces. Perfect for collectors, beginners, and RC enthusiasts looking for a stylish mini drift car with responsive handling and fun indoor driving."
2,H284131,1:28 Mini Racing Car 30KM/H High Speed RC Car Off-Road Drift RC Cars Toys with LED Lights,Drift Cars,1:28,11237,9523,18,95030090,14046,20,25,In Stock,4WD,30KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,25 × 22 × 15 cm,1 kg,8+ Years,N/A,assets/uploads/prod_1787920104060_6427.jpg,1,"The H284131 RC Car delivers fast speed and smooth remote control performance for exciting racing action. Built with a durable body and stable handling, it runs efficiently on different surfaces. Perfect for racing, drifting, and everyday RC fun, making it a great choice for beginners and RC car enthusiasts. 🚗","The H284131 RC Car delivers fast speed and smooth remote control performance for exciting racing action. Built with a durable body and stable handling, it runs efficiently on different surfaces. Perfect for racing, drifting, and everyday RC fun, making it a great choice for beginners and RC car enthusiasts. 🚗"
3,H22206-B,1:12 Scale 22206 4WD High-Speed Remote Control Racing Car,Drift Cars,1:12,3123,2647,18,95030090,3904,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,25 × 17 × 15 cm,1.4 kg,8+ Years,N/A,N/A,0,"The H22206-B RC Car is designed for high-speed racing and smooth remote control performance. With a durable build and stable handling, it runs efficiently on multiple surfaces. Ideal for exciting races and outdoor adventures, making it a great choice for both beginners and RC car enthusiasts. 🚗","The H22206-B RC Car is designed for high-speed racing and smooth remote control performance. With a durable build and stable handling, it runs efficiently on multiple surfaces. Ideal for exciting races and outdoor adventures, making it a great choice for both beginners and RC car enthusiasts. 🚗"
4,H124006,1:12 4WD 45KM/H 2.4G Remote Wrangler RC Crawler Car,Off Road Crawlers,1:12,19998,16947,18,95030090,24998,20,25,In Stock,4WD,45KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,47 × 29 × 28 cm,3.7 kg,8+ Years,N/A,N/A,0,"Powerful 1:12 Scale 4WD Wrangler RC Crawler Car with 2.4GHz remote control and 45KM/H high speed performance. Designed for off-road climbing, drifting, and rough terrain driving with strong grip tires and durable body, making it perfect for adventure and hobby-grade RC fun. 🚗","Powerful 1:12 Scale 4WD Wrangler RC Crawler Car with 2.4GHz remote control and 45KM/H high speed performance. Designed for off-road climbing, drifting, and rough terrain driving with strong grip tires and durable body, making it perfect for adventure and hobby-grade RC fun. 🚗"
5,H12429,1:12 Electric 4WD Simulation High Speed Remote Control Climbing SUV Car Model Toys with LED Light,Buggies & Truggies,1:12,21248,18007,18,95030090,26560,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,48 × 27 × 21 cm,4 kg,8+ Years,N/A,N/A,0,"High-performance 1:12 Electric 4WD Simulation SUV RC Car with high-speed remote control system and LED lights. Built for off-road climbing, rough terrain driving, and realistic SUV styling, delivering powerful performance and exciting RC adventure for hobby lovers. 🚗","High-performance 1:12 Electric 4WD Simulation SUV RC Car with high-speed remote control system and LED lights. Built for off-road climbing, rough terrain driving, and realistic SUV styling, delivering powerful performance and exciting RC adventure for hobby lovers. 🚗"
6,H144018,1:14 Scale 4WD High-Speed Brushless RC Car | 2.4GHz Off-Road Racing Monster Truck,Monster Trucks,1:14,12498,10592,18,95030090,15623,20,25,In Stock,4WD,35km/h,carbon 390 type,7.4V 1500mah li-poly battery,4 channels (2.4 GHz),38 × 33 × 25 cm,2.5 kg,14 Years & up,N/A,N/A,0,"The 144018 RC Car is a high-performance 1:14 scale 4WD off-road racing vehicle designed for speed and durability. Equipped with a powerful motor, strong suspension, and responsive 2.4GHz remote control, it delivers smooth handling on rough terrains. Perfect for hobby enthusiasts who enjoy fast, thrilling RC driving experiences. 🚗💨","The 144018 RC Car is a high-performance 1:14 scale 4WD off-road racing vehicle designed for speed and durability. Equipped with a powerful motor, strong suspension, and responsive 2.4GHz remote control, it delivers smooth handling on rough terrains. Perfect for hobby enthusiasts who enjoy fast, thrilling RC driving experiences. 🚗💨"
7,H184021,1:18 Scale 2.4G Remote Control Climbing Truck With Lamp Two Speed Mode Vehicle High Speed Rc Car Toy,Off Road Crawlers,1:18,9998,8473,18,95030090,12498,20,25,In Stock,4WD,9KM/h,Electric Brushed Motor,7.4V 350mah,2 channels (2.4 GHz),35 × 25 × 30 cm,1.8 kg,14 Years & up,N/A,assets/uploads/prod_1787927140240_2945.png,1,"The H184021 RC Car is designed for fast and smooth remote-control performance. Featuring a responsive 2.4GHz control system, it ensures stable handling and long-range operation. Its durable body and strong tires make it suitable for racing, drifting, and exciting outdoor RC adventures.","The H184021 RC Car is designed for fast and smooth remote-control performance. Featuring a responsive 2.4GHz control system, it ensures stable handling and long-range operation. Its durable body and strong tires make it suitable for racing, drifting, and exciting outdoor RC adventures."
8,H124028,1:12 RC Brushless Crawler 4WD RC Car 60KM/H Electric High Speed Truck Off-road Car Model Toys for Adults,Racing Cars,1:12,24375,20657,18,95030090,30469,20,25,In Stock,4WD,60KM/H,Brushless Motor,Rechargeable Li-ion Battery Pack (Included),2.4 GHz Multi-Channel Transmitter,43 × 26 × 22 cm,5.5 kg,8+ Years,N/A,N/A,0,"High-performance 1:12 RC Brushless 4WD Crawler Car with 60KM/H high-speed power and strong off-road capability. Designed for climbing, rough terrain driving, and high-speed racing, making it a perfect electric hobby-grade RC truck for adults and enthusiasts. 🚗","High-performance 1:12 RC Brushless 4WD Crawler Car with 60KM/H high-speed power and strong off-road capability. Designed for climbing, rough terrain driving, and high-speed racing, making it a perfect electric hobby-grade RC truck for adults and enthusiasts. 🚗"
9,H284161,1:28 Scale 4WD High Speed RC Car With LED Lights 2.4G Radio Remote Control Car Off-Road Drift Monster Model Trucks for Kids,Racing Cars,1:28,10485,8886,18,95030090,13106,20,25,In Stock,4WD,35 KM/H,Electric Brushed Motor,Rechargeable Li-ion Battery Pack (Included),3 Channels (2.4 GHz),26 × 22 × 16 cm,1.5 kg,"8 to 13 Years, 14 Years & up",N/A,N/A,0,"The H284161 RC Car offers powerful speed and smooth remote control for an exciting driving experience. Built with a strong and durable body, it provides stable handling on multiple surfaces. Perfect for racing and outdoor RC adventures, making it an ideal choice for both beginners and RC car enthusiasts. 🚗","The H284161 RC Car offers powerful speed and smooth remote control for an exciting driving experience. Built with a strong and durable body, it provides stable handling on multiple surfaces. Perfect for racing and outdoor RC adventures, making it an ideal choice for both beginners and RC car enthusiasts. 🚗"
10,H184011,1:18 Scale 4WD  RC High speed truck remote control Off Road Car 30KM/H RC Car Model Toys,Buggies & Truggies,1:18,7498,6354,18,95030090,9373,20,25,In Stock,4WD,30KM/H,Electric Brushed Motor,7.4V 900mAh,2.4 GHz Multi-Channel Transmitter,40 × 25 × 20 cm,2 kg,8+ Years,N/A,N/A,0,"Experience high-speed off-road action with our 1:18 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨","Experience high-speed off-road action with our 1:18 scale RC Buggies & Truggies. Designed for power, stability, and precision control, these models deliver thrilling performance on dirt, gravel, and rough terrain. Perfect for hobbyists and racing enthusiasts seeking durability, speed, and an authentic off-road driving experience. 🏎️💨"
